CMSA99,,PMSA99,,,,STATE,COUNTY,,CENTRALC,,,,msaLABEL
1122,,1120,,7,,25,9,,2,,1185,,Amesbury town
1122,,1120,,7,,25,9,,1,,5595,,Beverly city
1122,,1120,,7,,25,9,,1,,16250,,Danvers town
1122,,1120,,7,,25,9,,2,,21850,,Essex town
1122,,1120,,7,,25,9,,1,,26150,,Gloucester city
1122,,1120,,7,,25,9,,1,,27900,,Hamilton town
1122,,1120,,7,,25,9,,2,,32310,,Ipswich town
1122,,1120,,7,,25,9,,1,,37490,,Lynn city
1122,,1120,,7,,25,9,,1,,37560,,Lynnfield town
1122,,1120,,7,,25,9,,1,,37995,,Manchester-by-the-Sea town
1122,,1120,,7,,25,9,,1,,38400,,Marblehead town
1122,,1120,,7,,25,9,,2,,41095,,Middleton town
1122,,1120,,7,,25,9,,1,,43580,,Nahant town
1122,,1120,,7,,25,9,,2,,45175,,Newbury town
1122,,1120,,7,,25,9,,2,,45245,,Newburyport city
1122,,1120,,7,,25,9,,1,,52490,,Peabody city
1122,,1120,,7,,25,9,,1,,57880,,Rockport town
1122,,1120,,7,,25,9,,2,,58405,,Rowley town
1122,,1120,,7,,25,9,,1,,59105,,Salem city
1122,,1120,,7,,25,9,,2,,59245,,Salisbury town
1122,,1120,,7,,25,9,,1,,60015,,Saugus town
1122,,1120,,7,,25,9,,1,,68645,,Swampscott town
1122,,1120,,7,,25,9,,2,,70150,,Topsfield town
1122,,1120,,7,,25,9,,1,,74595,,Wenham town
,,,,,,,,,,,,,
1122,,1120,,7,,25,17,,,,,,"Middlesex County, MA (pt.)"
1122,,1120,,7,,25,17,,1,,380,,Acton town
1122,,1120,,7,,25,17,,1,,1605,,Arlington town
1122,,1120,,7,,25,17,,1,,2130,,Ashland town
1122,,1120,,7,,25,17,,2,,3005,,Ayer town
1122,,1120,,7,,25,17,,1,,4615,,Bedford town
1122,,1120,,7,,25,17,,1,,5070,,Belmont town
1122,,1120,,7,,25,17,,2,,7350,,Boxborough town
1122,,1120,,7,,25,17,,1,,9840,,Burlington town
1122,,1120,,7,,25,17,,1,,11000,,Cambridge city
1122,,1120,,7,,25,17,,1,,11525,,Carlisle town
1122,,1120,,7,,25,17,,1,,15060,,Concord town
1122,,1120,,7,,25,17,,1,,21990,,Everett city
1122,,1120,,7,,25,17,,1,,24925,,Framingham town
1122,,1120,,7,,25,17,,1,,30700,,Holliston town
1122,,1120,,7,,25,17,,2,,31085,,Hopkinton town
1122,,1120,,7,,25,17,,1,,31540,,Hudson town
1122,,1120,,7,,25,17,,1,,35215,,Lexington town
1122,,1120,,7,,25,17,,1,,35425,,Lincoln town
1122,,1120,,7,,25,17,,2,,35950,,Littleton town
1122,,1120,,7,,25,17,,1,,37875,,Malden city
1122,,1120,,7,,25,17,,1,,38715,,Marlborough city
1122,,1120,,7,,25,17,,1,,39625,,Maynard town
1122,,1120,,7,,25,17,,1,,39835,,Medford city
1122,,1120,,7,,25,17,,1,,40115,,Melrose city
1122,,1120,,7,,25,17,,1,,43895,,Natick town
1122,,1120,,7,,25,17,,1,,45560,,Newton city
1122,,1120,,7,,25,17,,1,,48955,,North Reading town
1122,,1120,,7,,25,17,,1,,56130,,Reading town
1122,,1120,,7,,25,17,,1,,61380,,Sherborn town
1122,,1120,,7,,25,17,,2,,61590,,Shirley town
1122,,1120,,7,,25,17,,1,,62535,,Somerville city
1122,,1120,,7,,25,17,,1,,67665,,Stoneham town
1122,,1120,,7,,25,17,,2,,68050,,Stow town
1122,,1120,,7,,25,17,,1,,68260,,Sudbury town
1122,,1120,,7,,25,17,,2,,70360,,Townsend town
1122,,1120,,7,,25,17,,1,,72215,,Wakefield town
1122,,1120,,7,,25,17,,1,,72600,,Waltham city
1122,,1120,,7,,25,17,,1,,73440,,Watertown city
1122,,1120,,7,,25,17,,1,,73790,,Wayland town
1122,,1120,,7,,25,17,,1,,77255,,Weston town
1122,,1120,,7,,25,17,,1,,80230,,Wilmington town
1122,,1120,,7,,25,17,,1,,80510,,Winchester town
1122,,1120,,7,,25,17,,1,,81035,,Woburn city
1122,,1120,,7,,25,21,,,,,,"Norfolk County, MA (pt.)"
1122,,1120,,7,,25,21,,2,,4930,,Bellingham town
1122,,1120,,7,,25,21,,1,,7665,,Braintree town
1122,,1120,,7,,25,21,,1,,9175,,Brookline town
1122,,1120,,7,,25,21,,1,,11315,,Canton town
1122,,1120,,7,,25,21,,1,,14640,,Cohasset town
1122,,1120,,7,,25,21,,1,,16495,,Dedham town
1122,,1120,,7,,25,21,,1,,17405,,Dover town
1122,,1120,,7,,25,21,,1,,24820,,Foxborough town
1122,,1120,,7,,25,21,,1,,25100,,Franklin city
1122,,1120,,7,,25,21,,1,,30455,,Holbrook town
1122,,1120,,7,,25,21,,1,,39765,,Medfield town
1122,,1120,,7,,25,21,,1,,39975,,Medway town
1122,,1120,,7,,25,21,,1,,41515,,Millis town
1122,,1120,,7,,25,21,,1,,41690,,Milton town
1122,,1120,,7,,25,21,,1,,44105,,Needham town
1122,,1120,,7,,25,21,,1,,46050,,Norfolk town
1122,,1120,,7,,25,21,,1,,50250,,Norwood town
1122,,1120,,7,,25,21,,2,,54100,,Plainville town
1122,,1120,,7,,25,21,,1,,55745,,Quincy city
1122,,1120,,7,,25,21,,1,,55955,,Randolph town
1122,,1120,,7,,25,21,,1,,60785,,Sharon town
1122,,1120,,7,,25,21,,1,,67945,,Stoughton town
1122,,1120,,7,,25,21,,1,,72495,,Walpole town
1122,,1120,,7,,25,21,,1,,74175,,Wellesley town
1122,,1120,,7,,25,21,,1,,78690,,Westwood town
1122,,1120,,7,,25,21,,1,,78865,,Weymouth town
1122,,1120,,7,,25,21,,1,,82315,,Wrentham town
1122,,1120,,7,,25,23,,,,,,"Plymouth County, MA (pt.)"
1122,,1120,,7,,25,23,,2,,11665,,Carver town
1122,,1120,,7,,25,23,,2,,17895,,Duxbury town
1122,,1120,,7,,25,23,,1,,28285,,Hanover town
1122,,1120,,7,,25,23,,1,,30210,,Hingham town
1122,,1120,,7,,25,23,,1,,31645,,Hull town
1122,,1120,,7,,25,23,,2,,33220,,Kingston town
1122,,1120,,7,,25,23,,2,,38855,,Marshfield town
1122,,1120,,7,,25,23,,2,,50145,,Norwell town
1122,,1120,,7,,25,23,,2,,52630,,Pembroke town
1122,,1120,,7,,25,23,,2,,54310,,Plymouth town
1122,,1120,,7,,25,23,,1,,57775,,Rockland town
1122,,1120,,7,,25,23,,1,,60330,,Scituate town
1122,,1120,,7,,25,23,,2,,72985,,Wareham town
1122,,1120,,7,,25,25,,,,,,"Suffolk County, MA"
1122,,1120,,7,,25,25,,1,,7000,,Boston city
1122,,1120,,7,,25,25,,1,,13205,,Chelsea city
1122,,1120,,7,,25,25,,1,,56585,,Revere city
1122,,1120,,7,,25,25,,1,,80930,,Winthrop town
1122,,1120,,7,,25,27,,,,,,"Worcester County, MA (pt.)"
1122,,1120,,7,,25,27,,2,,5490,,Berlin town
1122,,1120,,7,,25,27,,2,,6015,,Blackstone town
1122,,1120,,7,,25,27,,2,,6365,,Bolton town
1122,,1120,,7,,25,27,,2,,28950,,Harvard town
1122,,1120,,7,,25,27,,2,,30945,,Hopedale town
1122,,1120,,7,,25,27,,2,,34165,,Lancaster town
1122,,1120,,7,,25,27,,2,,40255,,Mendon town
1122,,1120,,7,,25,27,,2,,41165,,Milford town
1122,,1120,,7,,25,27,,2,,41585,,Millville town
1122,,1120,,7,,25,27,,1,,63165,,Southborough town
1122,,1120,,7,,25,27,,2,,71480,,Upton town
1122,,1120,,7,,33,15,,,,,,"Rockingham County, NH (pt.)"
1122,,1120,,7,,33,15,,2,,68260,,Seabrook town
1122,,1120,,7,,33,15,,2,,71140,,South Hampton town
1122,,1200,,7,,,,,,,,,"Brockton, MA PMSA"
1122,,1200,,7,,25,5,,,,,,Bristol County (pt.)
1122,,1200,,7,,25,5,,1,,20100,,Easton town
1122,,1200,,7,,25,5,,1,,56060,,Raynham town
1122,,1200,,7,,25,21,,,,,,Norfolk County (pt.)
1122,,1200,,7,,25,21,,1,,2935,,Avon town
1122,,1200,,7,,25,23,,,,,,Plymouth County (pt.)
1122,,1200,,7,,25,23,,1,,170,,Abington town
1122,,1200,,7,,25,23,,1,,8085,,Bridgewater town
1122,,1200,,7,,25,23,,1,,9000,,Brockton city
1122,,1200,,7,,25,23,,1,,18455,,East Bridgewater town
1122,,1200,,7,,25,23,,2,,27795,,Halifax town
1122,,1200,,7,,25,23,,1,,28495,,Hanson town
1122,,1200,,7,,25,23,,2,,33920,,Lakeville town
1122,,1200,,7,,25,23,,2,,40850,,Middleborough town
1122,,1200,,7,,25,23,,2,,54415,,Plympton town
1122,,1200,,7,,25,23,,1,,75260,,West Bridgewater town
1122,,1200,,7,,25,23,,1,,79530,,Whitman town
1122,,2600,,7,,,,,,,,,"Fitchburg-Leominster, MA PMSA"
1122,,2600,,7,,25,17,,,,,,Middlesex County (pt.)
1122,,2600,,7,,25,17,,2,,1955,,Ashby town
1122,,2600,,7,,25,27,,,,,,Worcester County (pt.)
1122,,2600,,7,,25,27,,2,,1885,,Ashburnham town
1122,,2600,,7,,25,27,,1,,23875,,Fitchburg city
1122,,2600,,7,,25,27,,2,,25485,,Gardner city
1122,,2600,,7,,25,27,,1,,35075,,Leominster city
1122,,2600,,7,,25,27,,2,,37420,,Lunenburg town
1122,,2600,,7,,25,27,,2,,69275,,Templeton town
1122,,2600,,7,,25,27,,2,,77010,,Westminster town
1122,,2600,,7,,25,27,,2,,80405,,Winchendon town
1122,,4160,,7,,,,,,,,,"Lawrence, MA-NH PMSA"
1122,,4160,,7,,25,9,,,,,,"Essex County, MA (pt.)"
1122,,4160,,7,,25,9,,1,,1465,,Andover town
1122,,4160,,7,,25,9,,2,,7420,,Boxford town
1122,,4160,,7,,25,9,,2,,25625,,Georgetown town
1122,,4160,,7,,25,9,,1,,27620,,Groveland town
1122,,4160,,7,,25,9,,1,,29405,,Haverhill city
1122,,4160,,7,,25,9,,1,,34550,,Lawrence city
1122,,4160,,7,,25,9,,1,,40430,,Merrimac town
1122,,4160,,7,,25,9,,1,,40710,,Methuen city
1122,,4160,,7,,25,9,,1,,46365,,North Andover town
1122,,4160,,7,,25,9,,2,,77150,,West Newbury town
1122,,4160,,7,,33,15,,,,,,"Rockingham County, NH (pt.)"
1122,,4160,,7,,33,15,,2,,2340,,Atkinson town
1122,,4160,,7,,33,15,,2,,12100,,Chester town
1122,,4160,,7,,33,15,,2,,17140,,Danville town
1122,,4160,,7,,33,15,,2,,17940,,Derry town
1122,,4160,,7,,33,15,,2,,27940,,Fremont town
1122,,4160,,7,,33,15,,2,,32900,,Hampstead town
1122,,4160,,7,,33,15,,2,,40100,,Kingston town
1122,,4160,,7,,33,15,,2,,52900,,Newton town
1122,,4160,,7,,33,15,,2,,62500,,Plaistow town
1122,,4160,,7,,33,15,,2,,64020,,Raymond town
1122,,4160,,7,,33,15,,1,,66660,,Salem town
1122,,4160,,7,,33,15,,2,,67620,,Sandown town
1122,,4160,,7,,33,15,,2,,85780,,Windham town
1122,,4560,,7,,,,,,,,,"Lowell, MA-NH PMSA"
1122,,4560,,7,,25,17,,,,,,"Middlesex County, MA (pt.)"
1122,,4560,,7,,25,17,,1,,5805,,Billerica town
1122,,4560,,7,,25,17,,1,,13135,,Chelmsford town
1122,,4560,,7,,25,17,,1,,17475,,Dracut town
1122,,4560,,7,,25,17,,2,,17825,,Dunstable town
1122,,4560,,7,,25,17,,2,,27480,,Groton town
1122,,4560,,7,,25,17,,1,,37000,,Lowell city
1122,,4560,,7,,25,17,,2,,52805,,Pepperell town
1122,,4560,,7,,25,17,,1,,69415,,Tewksbury town
1122,,4560,,7,,25,17,,2,,71025,,Tyngsborough town
1122,,4560,,7,,25,17,,2,,76135,,Westford town
1122,,4560,,7,,33,11,,,,,,"Hillsborough County, NH (pt.)"
1122,,4560,,7,,33,11,,2,,59940,,Pelham town
1122,,4760,,7,,,,,,,,,"Manchester, NH PMSA"
1122,,4760,,7,,33,11,,,,,,Hillsborough County (pt.)
1122,,4760,,7,,33,11,,2,,4500,,Bedford town
1122,,4760,,7,,33,11,,1,,29860,,Goffstown town
1122,,4760,,7,,33,11,,1,,45140,,Manchester city
1122,,4760,,7,,33,11,,2,,79780,,Weare town
1122,,4760,,7,,33,13,,,,,,Merrimack County (pt.)
1122,,4760,,7,,33,13,,2,,660,,Allenstown town
1122,,4760,,7,,33,13,,2,,37300,,Hooksett town
1122,,4760,,7,,33,15,,,,,,Rockingham County (pt.)
1122,,4760,,7,,33,15,,2,,2820,,Auburn town
1122,,4760,,7,,33,15,,2,,9300,,Candia town
1122,,4760,,7,,33,15,,2,,43220,,Londonderry town
1122,,5350,,7,,,,,,,,,"Nashua, NH PMSA"
1122,,5350,,7,,33,11,,,,,,Hillsborough County (pt.)
1122,,5350,,7,,33,11,,2,,1300,,Amherst town
1122,,5350,,7,,33,11,,2,,8100,,Brookline town
1122,,5350,,7,,33,11,,2,,31940,,Greenville town
1122,,5350,,7,,33,11,,2,,37140,,Hollis town
1122,,5350,,7,,33,11,,1,,37940,,Hudson town
1122,,5350,,7,,33,11,,2,,42260,,Litchfield town
1122,,5350,,7,,33,11,,2,,46260,,Mason town
1122,,5350,,7,,33,11,,2,,47540,,Merrimack town
1122,,5350,,7,,33,11,,2,,48020,,Milford town
1122,,5350,,7,,33,11,,2,,49140,,Mont Vernon town
1122,,5350,,7,,33,11,,1,,50260,,Nashua city
1122,,5350,,7,,33,11,,2,,51940,,New Ipswich town
1122,,5350,,7,,33,11,,2,,85220,,Wilton town
1122,,5400,,7,,,,,,,,,"New Bedford, MA PMSA"
1122,,5400,,7,,25,5,,,,,,Bristol County (pt.)
1122,,5400,,7,,25,5,,1,,520,,Acushnet town
1122,,5400,,7,,25,5,,1,,16425,,Dartmouth town
1122,,5400,,7,,25,5,,1,,22130,,Fairhaven town
1122,,5400,,7,,25,5,,2,,25240,,Freetown town
1122,,5400,,7,,25,5,,1,,45000,,New Bedford city
1122,,5400,,7,,25,23,,,,,,Plymouth County (pt.)
1122,,5400,,7,,25,23,,2,,38540,,Marion town
1122,,5400,,7,,25,23,,2,,39450,,Mattapoisett town
1122,,5400,,7,,25,23,,2,,57600,,Rochester town
1122,,6450,,7,,,,,,,,,"Portsmouth-Rochester, NH-ME PMSA"
1122,,6450,,7,,23,31,,,,,,"York County, ME (pt.)"
1122,,6450,,7,,23,31,,1,,4720,,Berwick town
1122,,6450,,7,,23,31,,2,,22955,,Eliot town
1122,,6450,,7,,23,31,,1,,37270,,Kittery town
1122,,6450,,7,,23,31,,1,,70030,,South Berwick town
1122,,6450,,7,,23,31,,2,,87985,,York town
1122,,6450,,7,,33,15,,,,,,"Rockingham County, NH (pt.)"
1122,,6450,,7,,33,15,,2,,7220,,Brentwood town
1122,,6450,,7,,33,15,,2,,21380,,East Kingston town
1122,,6450,,7,,33,15,,2,,24660,,Epping town
1122,,6450,,7,,33,15,,2,,25380,,Exeter town
1122,,6450,,7,,33,15,,2,,31700,,Greenland town
1122,,6450,,7,,33,15,,2,,33060,,Hampton town
1122,,6450,,7,,33,15,,2,,33460,,Hampton Falls town
1122,,6450,,7,,33,15,,2,,39780,,Kensington town
1122,,6450,,7,,33,15,,1,,50980,,New Castle town
1122,,6450,,7,,33,15,,2,,51380,,Newfields town
1122,,6450,,7,,33,15,,1,,51620,,Newington town
1122,,6450,,7,,33,15,,2,,52340,,Newmarket town
1122,,6450,,7,,33,15,,2,,54580,,North Hampton town
1122,,6450,,7,,33,15,,1,,62900,,Portsmouth city
1122,,6450,,7,,33,15,,2,,66180,,Rye town
1122,,6450,,7,,33,15,,2,,74340,,Stratham town
1122,,6450,,7,,33,17,,,,,,"Strafford County, NH (pt.)"
1122,,6450,,7,,33,17,,2,,3460,,Barrington town
1122,,6450,,7,,33,17,,1,,18820,,Dover city
1122,,6450,,7,,33,17,,1,,19700,,Durham town
1122,,6450,,7,,33,17,,2,,26020,,Farmington town
1122,,6450,,7,,33,17,,2,,41460,,Lee town
1122,,6450,,7,,33,17,,2,,44820,,Madbury town
1122,,6450,,7,,33,17,,2,,48660,,Milton town
1122,,6450,,7,,33,17,,1,,65140,,Rochester city
1122,,6450,,7,,33,17,,1,,65540,,Rollinsford town
1122,,6450,,7,,33,17,,1,,69940,,Somersworth city
1122,,9240,,7,,,,,,,,,"Worcester, MA-CT PMSA"
1122,,9240,,7,,9,15,,,,,,"Windham County, CT (pt.)"
1122,,9240,,7,,9,15,,2,,75870,,Thompson town
1122,,9240,,7,,25,13,,,,,,"Hampden County, MA (pt.)"
1122,,9240,,7,,25,13,,2,,30665,,Holland town
1122,,9240,,7,,25,27,,,,,,"Worcester County, MA (pt.)"
1122,,9240,,7,,25,27,,1,,2760,,Auburn town
1122,,9240,,7,,25,27,,2,,3740,,Barre town
1122,,9240,,7,,25,27,,2,,7525,,Boylston town
1122,,9240,,7,,25,27,,2,,9105,,Brookfield town
1122,,9240,,7,,25,27,,2,,12715,,Charlton town
1122,,9240,,7,,25,27,,2,,14395,,Clinton town
1122,,9240,,7,,25,27,,2,,17300,,Douglas town
1122,,9240,,7,,25,27,,2,,17685,,Dudley town
1122,,9240,,7,,25,27,,2,,18560,,East Brookfield town
1122,,9240,,7,,25,27,,1,,26430,,Grafton town
1122,,9240,,7,,25,27,,1,,30560,,Holden town
1122,,9240,,7,,25,27,,1,,34795,,Leicester town
1122,,9240,,7,,25,27,,1,,41340,,Millbury town
1122,,9240,,7,,25,27,,1,,46820,,Northborough town
1122,,9240,,7,,25,27,,1,,46925,,Northbridge town
1122,,9240,,7,,25,27,,2,,47135,,North Brookfield town
1122,,9240,,7,,25,27,,2,,50670,,Oakham town
1122,,9240,,7,,25,27,,1,,51825,,Oxford town
1122,,9240,,7,,25,27,,2,,52420,,Paxton town
1122,,9240,,7,,25,27,,2,,55395,,Princeton town
1122,,9240,,7,,25,27,,2,,58825,,Rutland town
1122,,9240,,7,,25,27,,1,,61800,,Shrewsbury town
1122,,9240,,7,,25,27,,2,,63270,,Southbridge town
1122,,9240,,7,,25,27,,2,,66105,,Spencer town
1122,,9240,,7,,25,27,,2,,67385,,Sterling town
1122,,9240,,7,,25,27,,2,,68155,,Sturbridge town
1122,,9240,,7,,25,27,,2,,68610,,Sutton town
1122,,9240,,7,,25,27,,1,,71620,,Uxbridge town
1122,,9240,,7,,25,27,,1,,73895,,Webster town
1122,,9240,,7,,25,27,,2,,75015,,Westborough town
