SMSA70,,STATE,COUNTY,,,,msaLABEL
1120,,25,17,,21990,,Everett city
1120,,25,17,,24925,,Framingham town
1120,,25,17,,35215,,Lexington town
1120,,25,17,,35425,,Lincoln town
1120,,25,17,,37875,,Malden city
1120,,25,17,,39835,,Medford city
1120,,25,17,,40115,,Melrose city
1120,,25,17,,43895,,Natick town
1120,,25,17,,45560,,Newton city
1120,,25,17,,48955,,North Reading town
1120,,25,17,,56130,,Reading town
1120,,25,17,,61380,,Sherborn town
1120,,25,17,,62535,,Somerville city
1120,,25,17,,67665,,Stoneham town
1120,,25,17,,68260,,Sudbury town
1120,,25,17,,72215,,Wakefield town
1120,,25,17,,72600,,Waltham city
1120,,25,17,,73405,,Watertown town
1120,,25,17,,73790,,Wayland town
1120,,25,17,,77255,,Weston town
1120,,25,17,,80230,,Wilmington town
1120,,25,17,,80510,,Winchester town
1120,,25,17,,81035,,Woburn city
1120,,25,21,,,,Norfolk County (pt.)
1120,,25,21,,7665,,Braintree town
1120,,25,21,,9175,,Brookline town
1120,,25,21,,11315,,Canton town
1120,,25,21,,14640,,Cohasset town
1120,,25,21,,16495,,Dedham town
1120,,25,21,,17405,,Dover town
1120,,25,21,,30455,,Holbrook town
1120,,25,21,,39765,,Medfield town
1120,,25,21,,41515,,Millis town
1120,,25,21,,41690,,Milton town
1120,,25,21,,44105,,Needham town
1120,,25,21,,46050,,Norfolk town
1120,,25,21,,50250,,Norwood town
1120,,25,21,,55745,,Quincy city
1120,,25,21,,55955,,Randolph town
1120,,25,21,,60785,,Sharon town
1120,,25,21,,72495,,Walpole town
1120,,25,21,,74175,,Wellesley town
1120,,25,21,,78690,,Westwood town
1120,,25,21,,78865,,Weymouth town
1120,,25,23,,,,Plymouth County (pt.)
1120,,25,23,,17895,,Duxbury town
1120,,25,23,,28285,,Hanover town
1120,,25,23,,30210,,Hingham town
1120,,25,23,,31645,,Hull town
1120,,25,23,,38855,,Marshfield town
1120,,25,23,,50145,,Norwell town
1120,,25,23,,52630,,Pembroke town
1120,,25,23,,57775,,Rockland town
1120,,25,23,,60330,,Scituate town
1120,,25,25,,,,Suffolk County
1120,,25,25,,7000,,Boston city
1120,,25,25,,13205,,Chelsea city
1120,,25,25,,56585,,Revere city
1120,,25,25,,80930,,Winthrop town
,,,,,,,
1160,,,,,,,"Bridgeport, CT SMSA"
1160,,9,1,,,,Fairfield County (pt.)
1160,,9,1,,8000,,Bridgeport city
1160,,9,1,,23890,,Easton town
1160,,9,1,,26620,,Fairfield town
1160,,9,1,,48620,,Monroe town
1160,,9,1,,68100,,Shelton city
1160,,9,1,,74190,,Stratford town
1160,,9,1,,77200,,Trumbull town
1160,,9,9,,,,New Haven County (pt.)
1160,,9,9,,47535,,Milford town
,,,,,,,
1170,,,,,,,"Bristol, CT SMSA"
1170,,9,3,,,,Hartford County (pt.)
1170,,9,3,,8420,,Bristol city
1170,,9,5,,,,Litchfield County (pt.)
1170,,9,5,,60750,,Plymouth town
,,,,,,,
1200,,,,,,,"Brockton, MA SMSA"
1200,,25,5,,,,Bristol County (pt.)
1200,,25,5,,20100,,Easton town
1200,,25,21,,,,Norfolk County (pt.)
1200,,25,21,,2935,,Avon town
1200,,25,21,,67945,,Stoughton town
1200,,25,23,,,,Plymouth County (pt.)
1200,,25,23,,170,,Abington town
1200,,25,23,,8085,,Bridgewater town
1200,,25,23,,9000,,Brockton city
1200,,25,23,,18455,,East Bridgewater town
1200,,25,23,,28495,,Hanson town
1200,,25,23,,75260,,West Bridgewater town
1200,,25,23,,79530,,Whitman town
,,,,,,,
1240,,,,,,,"Brownsville-Harlingen-San Benito, TX SMSA"
1240,,48,61,,,,Cameron County
,,,,,,,
1260,,,,,,,"Bryan-College Station, TX SMSA"
1260,,48,41,,,,Brazos County
,,,,,,,
1280,,,,,,,"Buffalo, NY SMSA"
1280,,36,29,,,,Erie County
1280,,36,63,,,,Niagara County
,,,,,,,
1310,,,,,,,"Caguas, PR SMSA"
1310,,72,25,,,,Caguas Municipio
,,,,,,,
1320,,,,,,,"Canton, OH SMSA"
1320,,39,151,,,,Stark County
,,,,,,,
1360,,,,,,,"Cedar Rapids, IA SMSA"
1360,,19,113,,,,Linn County
,,,,,,,
1400,,,,,,,"Champaign-Urbana, IL SMSA"
1400,,17,19,,,,Champaign County
,,,,,,,
1440,,,,,,,"Charleston, SC SMSA"
